words\files;Suspense;NonSuspense;Other;
зиять;0.0;0.377073906486;0.356209926383;
подавать;0.0;0.377073906486;0.0;
повертываться;0.0;0.377073906486;0.237473284256;
страшно;0.0;0.754147812971;0.237473284256;
целить;0.444444444444;0.0;0.0;
страх;0.0;1.13122171946;0.415578247447;
значить;0.0;0.377073906486;0.0;
порядочно;0.444444444444;0.0;0.0;
шест;0.0;0.754147812971;0.0;
приближаться;0.0;0.377073906486;0.0;
мелкозубый;0.444444444444;0.0;0.118736642128;
посинеть;0.444444444444;0.0;0.0593683210639;
слеза;0.0;0.754147812971;0.474946568511;
зажимать;0.444444444444;0.377073906486;0.0;
приводить;0.888888888889;0.0;0.0;
жалеть;0.0;0.377073906486;0.0593683210639;
смиренно;0.0;0.377073906486;0.118736642128;
смеяться;0.888888888889;0.0;0.474946568511;
насилие;0.0;0.377073906486;0.0;
попросить;0.444444444444;0.0;0.0;
заляпывать;0.444444444444;0.0;0.356209926383;
менее;0.444444444444;0.0;0.0;
приглашение;0.444444444444;0.0;0.0;
наружу;0.0;0.377073906486;0.0593683210639;
православный;0.888888888889;1.50829562594;0.415578247447;
живучий;0.444444444444;0.0;0.0;
превышать;0.0;0.377073906486;0.0;
медлить;0.444444444444;0.0;0.0;
высасывать;0.444444444444;0.0;0.0;
потерпеть;1.77777777778;2.26244343891;2.79031109;
заглядывать;0.0;0.377073906486;0.0;
шанс;0.888888888889;0.0;0.178104963192;
препятствие;0.0;0.377073906486;0.0593683210639;
шар;0.0;0.377073906486;0.118736642128;
заверять;0.0;0.377073906486;0.178104963192;
заметаться;0.0;0.377073906486;0.0;
честный;0.444444444444;0.0;0.0593683210639;
честь;0.444444444444;0.0;0.118736642128;
присутствие;0.0;0.377073906486;0.118736642128;
четверть;2.22222222222;2.26244343891;2.55283780575;
полный;0.444444444444;0.754147812971;0.178104963192;
запыхаться;4.0;4.90196078431;3.79957254809;
натыкать;0.0;1.13122171946;0.593683210639;
бал;0.444444444444;0.377073906486;0.178104963192;
сосновый;0.0;0.377073906486;0.0;
беззвучный;0.444444444444;0.0;0.0;
восклицание;0.0;0.377073906486;0.118736642128;
светлеть;0.0;0.377073906486;0.296841605319;
баня;0.444444444444;0.0;0.118736642128;
глубоко;0.0;1.13122171946;0.415578247447;
застилать;0.0;0.377073906486;0.118736642128;
покривиться;0.0;0.377073906486;0.0;
шляпа;0.444444444444;0.0;0.0;
полоснуть;0.444444444444;0.0;0.0;
впрыскивать;0.444444444444;0.754147812971;0.0593683210639;
заострять;0.444444444444;0.377073906486;1.12799810021;
себе;0.444444444444;0.0;0.0;
помогать;2.66666666667;0.754147812971;0.593683210639;
