words\files;Suspense;NonSuspense;Other;
аллегория;0.0;0.375939849624;0.0;
аллее;0.0;0.751879699248;0.0589553118736;
аллеи;0.0;0.375939849624;0.0589553118736;
алое;0.438212094654;0.0;0.0;
альманахам;0.0;0.375939849624;0.0;
амбарчиках;0.0;0.375939849624;0.0;
американская;0.0;0.0;0.0589553118736;
американской;0.0;0.0;0.0589553118736;
американцы;0.0;0.0;0.0589553118736;
америке;0.0;0.0;0.0589553118736;
америку;0.0;0.0;0.117910623747;
ампулу;0.438212094654;0.0;0.0;
ампутаций;0.0;0.0;0.0589553118736;
ампутацию;1.31463628396;0.0;0.0;
амура;0.0;0.0;0.0589553118736;
ан;0.0;0.0;0.0589553118736;
анатомического;0.438212094654;0.0;0.0;
ангел;0.0;0.0;0.0589553118736;
ангелами;0.0;0.0;0.0589553118736;
английские;0.0;0.0;0.117910623747;
английский;0.0;0.0;0.0589553118736;
анна;1.31463628396;0.375939849624;0.235821247494;
анны;0.0;1.12781954887;0.0;
антоновка;0.0;0.751879699248;0.0;
антоновские;0.0;0.375939849624;0.0;
антоновских;0.0;0.375939849624;0.0589553118736;
аполлоныча;0.0;0.0;0.0589553118736;
аппендицит;0.0;0.0;0.0589553118736;
аптеку;0.0;0.0;0.0589553118736;
арапником;0.0;0.0;0.0589553118736;
арест;0.0;0.0;0.0589553118736;
ареста;0.0;0.0;0.0589553118736;
арестовали;0.0;0.0;0.0589553118736;
аристократически;0.0;0.375939849624;0.0;
арию;0.0;0.0;0.117910623747;
армейского;0.0;0.0;0.0589553118736;
армии;0.0;0.0;0.0589553118736;
армию;0.0;0.0;0.117910623747;
армия;0.0;0.0;0.235821247494;
аромат;0.0;0.0;0.0589553118736;
ароматическими;0.0;0.0;0.0589553118736;
ароматом;0.0;0.0;0.0589553118736;
арсений;0.0;0.375939849624;0.117910623747;
арсения;0.0;0.375939849624;0.176865935621;
артериа;0.876424189308;0.0;0.0;
артист;0.0;0.0;0.176865935621;
аршин;0.0;0.0;0.0589553118736;
астральном;0.0;0.0;0.0589553118736;
астральный;0.0;0.0;0.0589553118736;
атлас;0.0;0.0;0.0589553118736;
атласы;0.0;0.0;0.0589553118736;
ах;1.75284837862;0.0;0.176865935621;
ахнул;0.0;0.0;0.117910623747;
ахнула;0.0;0.0;0.0589553118736;
ахнули;0.0;0.0;0.0589553118736;
бaкенбaрдaми;0.0;0.0;0.471642494989;
бaнaльнaя;0.0;0.0;0.0589553118736;
бaрa;0.0;0.0;0.117910623747;
баб;0.438212094654;0.0;0.0589553118736;
бабах;0.438212094654;0.0;0.0;
бабка;0.0;0.0;0.0589553118736;
бабочка;0.0;0.375939849624;0.0;
бабушку;0.0;0.375939849624;0.0;
бабы;0.0;0.0;0.0589553118736;
бабье;0.0;0.0;0.0589553118736;
бабьим;0.0;0.0;0.117910623747;
багровое;0.0;0.0;0.117910623747;
базе;0.0;0.0;0.117910623747;
бале;0.438212094654;0.0;0.0589553118736;
балканского;0.0;0.0;0.0589553118736;
бане;0.438212094654;0.0;0.0;
банк;0.0;0.0;0.0589553118736;
банкомету;0.0;0.0;0.0589553118736;
баночку;0.0;0.0;0.0589553118736;
барабан;0.0;1.12781954887;0.0;
барабана;0.0;0.375939849624;0.0;
бараний;0.0;0.0;0.0589553118736;
бараниной;0.0;0.375939849624;0.0;
бараньи;0.0;0.0;0.0589553118736;
барахлом;0.0;0.0;0.0589553118736;
барин;0.0;1.12781954887;0.0;
барином;0.0;0.375939849624;0.0;
барину;0.0;0.375939849624;0.0;
баритоном;0.0;0.375939849624;0.0;
барон;0.0;0.0;0.530597806862;
барона;0.0;0.0;0.235821247494;
бароном;0.0;0.0;0.117910623747;
барону;0.0;0.0;0.0589553118736;
барские;0.0;0.375939849624;0.0;
бархатных;0.0;0.375939849624;0.0;
барчук;0.0;0.375939849624;0.0589553118736;
барыня;0.0;0.375939849624;0.0;
басманной;0.0;0.0;0.0589553118736;
басом;0.0;0.375939849624;0.0;
басурмане;0.0;0.0;0.0589553118736;
батюшка;0.438212094654;0.0;0.294776559368;
батюшки;0.0;0.0;0.0589553118736;
батюшкова;0.0;0.375939849624;0.0;
башмаки;0.0;0.0;0.0589553118736;
бега;0.0;0.0;0.0589553118736;
бегать;0.0;0.0;0.0589553118736;
бегают;0.0;0.375939849624;0.0589553118736;
бегло;0.0;0.0;0.0589553118736;
беготня;0.0;0.0;0.0589553118736;
бегущего;0.438212094654;0.0;0.0;
бегущую;0.0;0.375939849624;0.0;
беда;0.0;0.375939849624;0.0;
беде;0.0;0.0;0.0589553118736;
бедно;0.0;0.0;0.0589553118736;
бедной;0.0;0.0;0.176865935621;
бедном;0.0;0.0;0.117910623747;
бедному;0.0;0.0;0.0589553118736;
бедности;0.0;0.0;0.0589553118736;
бедный;0.438212094654;0.0;0.0589553118736;
бедняка;0.438212094654;0.0;0.0;
бедолагу;0.0;0.0;0.117910623747;
бедрах;0.438212094654;0.0;0.0;
бедро;0.438212094654;0.0;0.0;
бежали;0.876424189308;0.375939849624;0.0;
бежало;0.0;0.0;0.0589553118736;
бежать;0.438212094654;0.0;0.117910623747;
без;2.62927256792;0.0;1.29701686122;
безвредные;0.0;0.0;0.0589553118736;
