'(''pr'', ''a'', ''s'', ''conj'')'	8	
'(''conj'', ''a'', ''s'', ''pr'')'	8	
'(''pr'', ''s'', ''s'', ''s'')'	8	
'(''s'', ''a'', ''s'', ''conj'')'	8	
'(''pr'', ''s'', ''conj'', ''s'')'	8	
'(''a'', ''a'', ''s'', ''pr'')'	8	
'(''s'', ''s'', ''adv'', ''v'')'	8	
'(''a'', ''s'', ''s'', ''a'')'	8	
'(''s'', ''v'', ''s'', ''pr'')'	8	
'(''v'', ''a'', ''s'', ''v'')'	8	
'(''s'', ''conj'', ''v'', ''pr'')'	8	
'(''v'', ''a'', ''conj'', ''a'')'	7	
'(''v'', ''s'', ''v'', ''pr'')'	7	
'(''pr'', ''a'', ''conj'', ''a'')'	7	
'(''a'', ''s'', ''adv'', ''v'')'	7	
'(''a'', ''s'', ''conj'', ''v'')'	7	
'(''s'', ''pr'', ''s'', ''adv'')'	7	
'(''conj'', ''v'', ''s'', ''s'')'	7	
'(''pr'', ''s'', ''conj'', ''pr'')'	7	
'(''s'', ''conj'', ''part'', ''v'')'	7	
'(''s'', ''adv'', ''v'', ''pr'')'	7	
'(''pr'', ''s'', ''adv'', ''v'')'	7	
'(''s'', ''spro'', ''v'', ''pr'')'	7	
'(''spro'', ''v'', ''pr'', ''s'')'	7	
'(''v'', ''s'', ''v'', ''s'')'	7	
'(''v'', ''a'', ''a'', ''s'')'	6	
'(''pr'', ''apro'', ''s'', ''v'')'	6	
'(''conj'', ''a'', ''s'', ''v'')'	6	
'(''s'', ''pr'', ''a'', ''a'')'	6	
'(''v'', ''spro'', ''pr'', ''s'')'	6	
'(''s'', ''v'', ''v'', ''s'')'	6	
'(''part'', ''v'', ''pr'', ''s'')'	6	
'(''s'', ''v'', ''adv'', ''conj'')'	6	
'(''a'', ''a'', ''s'', ''s'')'	6	
'(''v'', ''s'', ''s'', ''pr'')'	6	
'(''s'', ''v'', ''pr'', ''spro'')'	6	
'(''s'', ''pr'', ''a'', ''conj'')'	6	
'(''conj'', ''pr'', ''s'', ''v'')'	6	
'(''s'', ''conj'', ''adv'', ''v'')'	6	
'(''conj'', ''s'', ''s'', ''s'')'	6	
'(''pr'', ''s'', ''conj'', ''v'')'	6	
'(''v'', ''s'', ''adv'', ''v'')'	6	
'(''v'', ''conj'', ''v'', ''pr'')'	6	
'(''v'', ''a'', ''s'', ''a'')'	6	
'(''v'', ''a'', ''s'', ''s'')'	6	
'(''a'', ''s'', ''conj'', ''a'')'	6	
'(''pr'', ''s'', ''spro'', ''v'')'	5	
'(''a'', ''a'', ''s'', ''conj'')'	5	
'(''pr'', ''s'', ''pr'', ''a'')'	5	
'(''s'', ''pr'', ''s'', ''a'')'	5	
'(''v'', ''adv'', ''conj'', ''adv'')'	5	
'(''s'', ''s'', ''a'', ''a'')'	5	
'(''v'', ''conj'', ''v'', ''s'')'	5	
'(''pr'', ''apro'', ''s'', ''s'')'	5	
'(''v'', ''s'', ''a'', ''s'')'	5	
'(''pr'', ''s'', ''v'', ''conj'')'	5	
'(''s'', ''s'', ''pr'', ''spro'')'	5	
'(''spro'', ''s'', ''v'', ''s'')'	5	
'(''s'', ''s'', ''s'', ''a'')'	5	
'(''a'', ''a'', ''s'', ''a'')'	5	
'(''conj'', ''a'', ''a'', ''s'')'	5	
'(''pr'', ''s'', ''apro'', ''s'')'	5	
'(''s'', ''s'', ''v'', ''a'')'	5	
'(''adv'', ''conj'', ''adv'', ''v'')'	5	
'(''v'', ''s'', ''pr'', ''a'')'	5	
'(''s'', ''conj'', ''s'', ''a'')'	5	
'(''v'', ''s'', ''conj'', ''v'')'	5	
'(''pr'', ''apro'', ''a'', ''s'')'	5	
'(''s'', ''s'', ''pr'', ''apro'')'	5	
'(''a'', ''s'', ''a'', ''conj'')'	5	
'(''pr'', ''s'', ''v'', ''a'')'	5	
'(''v'', ''s'', ''s'', ''conj'')'	5	
'(''s'', ''pr'', ''s'', ''apro'')'	5	
'(''a'', ''a'', ''s'', ''apro'')'	5	
'(''s'', ''conj'', ''v'', ''s'')'	5	
'(''conj'', ''adv'', ''v'', ''pr'')'	5	
'(''s'', ''pr'', ''spro'', ''v'')'	5	
'(''pr'', ''s'', ''s'', ''conj'')'	5	
'(''v'', ''v'', ''s'', ''s'')'	5	
'(''a'', ''s'', ''v'', ''a'')'	5	
'(''adv'', ''v'', ''s'', ''s'')'	5	
'(''pr'', ''s'', ''v'', ''v'')'	5	
'(''conj'', ''part'', ''v'', ''s'')'	5	
'(''s'', ''pr'', ''v'', ''s'')'	4	
'(''s'', ''a'', ''conj'', ''a'')'	4	
'(''v'', ''s'', ''v'', ''a'')'	4	
'(''part'', ''s'', ''v'', ''s'')'	4	
'(''conj'', ''s'', ''a'', ''s'')'	4	
'(''v'', ''pr'', ''a'', ''a'')'	4	
'(''apro'', ''v'', ''s'', ''s'')'	4	
'(''s'', ''s'', ''v'', ''adv'')'	4	
