['pr', 'демьян', 'лукич', 'conj']
['демьян', 'лукич', 'conj', 'pr']
['лукич', 'conj', 'pr', 'пелагея']
['conj', 'pr', 'пелагея', 'ивановна']
['pr', 'пелагея', 'ивановна', 'v']
['пелагея', 'ивановна', 'v', 'pr']
['ивановна', 'v', 'pr', 's']
['v', 'pr', 's', 's']
['pr', 's', 's', 'conj']
['s', 's', 'conj', 's']
['s', 'conj', 's', 'v']
['conj', 's', 'v', 'spro']
['s', 'v', 'spro', 'spro']
['v', 'spro', 'spro', 'spro']
['spro', 'spro', 'spro', 'v']
['spro', 'spro', 'v', 'part']
['spro', 'v', 'part', 'advpro']
['v', 'part', 'advpro', 'part']
['part', 'advpro', 'part', 'adv']
['advpro', 'part', 'adv', 's']
['part', 'adv', 's', 's']
['adv', 's', 's', 'a']
['s', 's', 'a', 's']
['s', 'a', 's', 'num']
['a', 's', 'num', 'num']
['s', 'num', 'num', 's']
['num', 'num', 's', 'v']
['num', 's', 'v', 'adv']
['s', 'v', 'adv', 's']
['v', 'adv', 's', 'pr']
['adv', 's', 'pr', 'num']
['s', 'pr', 'num', 's']
['pr', 'num', 's', 'впрыгивать']
['num', 's', 'впрыгивать', 'a']
['s', 'впрыгивать', 'a', 's']
['впрыгивать', 'a', 's', 'a']
['a', 's', 'a', 's']
['s', 'a', 's', 'pr']
['a', 's', 'pr', 'a']
['s', 'pr', 'a', 's']
['pr', 'a', 's', 'v']
['a', 's', 'v', 'pr']
['s', 'v', 'pr', 's']
['v', 'pr', 's', 'a']
['pr', 's', 'a', 's']
['s', 'a', 's', 'apro']
['a', 's', 'apro', 'v']
['s', 'apro', 'v', 'что,—']
['apro', 'v', 'что,—', 'adv']
['v', 'что,—', 'adv', 'v']
['что,—', 'adv', 'v', 's']
['adv', 'v', 's', 'v']
['v', 's', 'v', 'v']
['s', 'v', 'v', 'spro']
['v', 'v', 'spro', 's']
['v', 'spro', 's', 'v']
['spro', 's', 'v', 'a']
['s', 'v', 'a', 's']
['v', 'a', 's', 'apro']
['a', 's', 'apro', 's']
['s', 'apro', 's', 'conj']
['apro', 's', 'conj', 's']
['s', 'conj', 's', '«кочерга»']
['conj', 's', '«кочерга»', 'part']
['s', '«кочерга»', 'part', 'v']
['«кочерга»', 'part', 'v', 'pr']
['part', 'v', 'pr', 'a']
['v', 'pr', 'a', 's']
['pr', 'a', 's', 'conj']
['a', 's', 'conj', 'adv']
['s', 'conj', 'adv', 'pr']
['conj', 'adv', 'pr', 'spro']
['adv', 'pr', 'spro', 'conj']
['pr', 'spro', 'conj', 's']
['spro', 'conj', 's', 'v']
['conj', 's', 'v', 'num']
['s', 'v', 'num', 's']
['v', 'num', 's', 's']
['num', 's', 's', 'a']
['s', 's', 'a', 's']
['s', 'a', 's', 'v']
['a', 's', 'v', 'pr']
['s', 'v', 'pr', 's']
['v', 'pr', 's', 'conj']
['pr', 's', 'conj', 'v']
['s', 'conj', 'v', 'part']
['conj', 'v', 'part', 'adv']
['v', 'part', 'adv', 'conj']
['part', 'adv', 'conj', 'part']
['adv', 'conj', 'part', 'part']
['conj', 'part', 'part', 's']
['part', 'part', 's', 's']
['part', 's', 's', 'джеб']
['s', 's', 'джеб', 'энд']
['s', 'джеб', 'энд', 'компань']
['джеб', 'энд', 'компань', 'apro']
['энд', 'компань', 'apro', 'v']
['компань', 'apro', 'v', 'part']
['apro', 'v', 'part', 'num']
['v', 'part', 'num', 'v']
['part', 'num', 'v', 'apro']
['num', 'v', 'apro', 's']
['v', 'apro', 's', 'переутомлять']
['apro', 's', 'переутомлять', 's']
['s', 'переутомлять', 's', 'v']
['переутомлять', 's', 'v', 'spro']
['s', 'v', 'spro', 'pr']
['v', 'spro', 'pr', 'a']
['spro', 'pr', 'a', 's']
['pr', 'a', 's', 'a']
['a', 's', 'a', 's']
['s', 'a', 's', 'conj']
['a', 's', 'conj', 'a']
['s', 'conj', 'a', 's']
['conj', 'a', 's', 'v']
['a', 's', 'v', 'v']
['s', 'v', 'v', 'adv']
['v', 'v', 'adv', 'v']
['v', 'adv', 'v', 'кольбер']
['adv', 'v', 'кольбер', 'кольбер']
['v', 'кольбер', 'кольбер', 'v']
['кольбер', 'кольбер', 'v', 'adv']
['кольбер', 'v', 'adv', 'pr']
['v', 'adv', 'pr', 'a']
['adv', 'pr', 'a', 'conj']
['pr', 'a', 'conj', 'v']
['a', 'conj', 'v', 's']
