words\files;Suspense;NonSuspense;;;
глубина;;0.377073906486;абстрактный;;
глубокий;;0.754147812971;описание;;
глубоко;0.444444444444;;описание;;
глухо;0.444444444444;;описание;;
глухой;;0.377073906486;описание;;
глядеть;;2.26244343891;действие;;
глянуть;0.888888888889;;действие;;
гнев;0.444444444444;;абстрактный;;
гнездо;;0.377073906486;предмет;;
говор;;0.754147812971;абстрактный;;
голень;0.888888888889;;предмет;;
головка;;0.377073906486;предмет;;
голодный;;0.377073906486;описание;;
голубоватый;;0.377073906486;описание;;
голубой;;0.754147812971;описание;;
голубь;;0.377073906486;предмет;;
голый;;0.377073906486;описание;;
гончая;;1.50829562594;предмет;;
гончий;;0.377073906486;описание;;
гора;;0.377073906486;предмет;;
гордиться;;0.377073906486;действие;;
горлинка;;0.377073906486;предмет;;
горошек;;0.377073906486;предмет;;
горячий;;0.377073906486;описание;;
господин;;0.377073906486;профессия;;
господский;;0.377073906486;описание;;
гост;0.444444444444;;профессия;;
гостеприимный;;0.377073906486;описание;;
гостиная;;0.377073906486;место;;
государь;;0.377073906486;профессия;;
готовить;0.444444444444;;действие;;
готовый;0.444444444444;;описание;;
грабли;;0.377073906486;предмет;;
граф;3.11111111111;;профессия;;
графиня;1.33333333333;;профессия;;
гребень;;0.377073906486;предмет;;
греться;;0.377073906486;действие;;
грибной;;0.377073906486;описание;;
гроб;0.444444444444;;предмет;;
гробовщик;2.66666666667;;профессия;;
гроздь;0.444444444444;;предмет;;
громадный;0.444444444444;;описание;;
громкий;0.444444444444;;описание;;
громко;;0.377073906486;описание;;
грубый;;0.377073906486;описание;;
груда;0.444444444444;;абстрактный;;
грудь;;0.377073906486;предмет;;
грустно;;0.754147812971;описание;;
грусть;;0.377073906486;абстрактный;;
грыжа;0.444444444444;;предмет;;
грязь;;0.754147812971;предмет;;
губа;0.888888888889;;предмет;;
гудеть;;1.13122171946;действие;;
гул;;0.377073906486;абстрактный;;
гулкий;;0.377073906486;описание;;
гумно;;1.50829562594;место;;
гусиный;;0.377073906486;описание;;
густой;;1.13122171946;описание;;
давление;0.444444444444;;абстрактный;;
далекий;0.444444444444;;описание;;
даль;;0.377073906486;место;;
дама;0.444444444444;;профессия;;
даром;0.444444444444;;описание;;
двадцать;;0.377073906486;абстрактный;;
двигаться;;0.754147812971;действие;;
движение;0.444444444444;;абстрактный;;
двинуться;0.444444444444;;действие;;
двое;;0.377073906486;абстрактный;;
двор;;2.26244343891;место;;
дворня;;0.377073906486;место;;
дворовый;;0.377073906486;описание;;
дворянин;;0.754147812971;профессия;;
дворянский;;0.754147812971;описание;;
девичий;0.444444444444;;описание;;
девка;;1.88536953243;профессия;;
девушка;3.11111111111;;профессия;;
девчонка;;0.377073906486;профессия;;
дед;;0.377073906486;профессия;;
дедовский;;0.377073906486;описание;;
действовать;0.444444444444;;действие;;
декламировать;;0.377073906486;действие;;
делаться;;0.377073906486;действие;;
делиться;;0.377073906486;действие;;
демьян;0.888888888889;;имя;;
день;;4.14781297134;абстрактный;;
деньги;;0.377073906486;предмет;;
деревенский;;0.754147812971;описание;;
деревня;;1.13122171946;место;;
деревянный;;0.377073906486;описание;;
держать;;0.377073906486;действие;;
дернуть;0.444444444444;;действие;;
десна;0.444444444444;;предмет;;
десятина;;0.377073906486;предмет;;
десять;0.444444444444;;абстрактный;;
детство;;0.377073906486;абстрактный;;
дешевый;;0.377073906486;описание;;
джой;2.66666666667;;имя;;
дикарский;;0.377073906486;описание;;
директор;0.888888888889;;профессия;;
